"Ticker","Nome","Negócios","Última (R$)","Variação"
"IGTI3","Jereissati Participações","36.000","2,78","+1,83%"
"IGTI3","Iguatemi","36.000","2,78","+1,83%"
"NINJ3","GetNinjas","35.500","4,70","+0,00%"
"INEP4","Inepar","33.700","2,00","-3,85%"
"UCAS3","Unicasa","33.500","2,27","+0,00%"
"BIOM3","Biomm","32.700","8,82","+3,16%"
"EUCA4","Eucatex","32.500","15,83","+1,47%"
"EQPA3","Equatorial Energia Pará","31.700","6,18","-0,80%"
"DOTZ3","Dotz","30.100","7,65","-3,16%"
"CSUD3","CSU Cardsystem","27.800","18,78","+0,97%"
"LVTC3","WDC Networks","26.100","3,60","+0,00%"
"VIVR3","Viver","25.600","2,18","+1,87%"
"INEP3","Inepar","25.300","1,92","-3,52%"
"RNEW3","Renova Energia","23.800","1,01","+0,00%"
"VSTE3","LE LIS BLANC","21.800","13,00","-0,76%"
"CAMB3","Cambuci","20.300","12,61","+0,88%"
"BRSR3","Banrisul","19.500","13,55","+0,22%"
"BEES3","Banestes","17.300","9,01","+0,45%"
"RPMG3","Refinaria de Manguinhos","14.200","2,99","+1,70%"
"WHRL4","Whirlpool","14.000","4,63","+1,09%"
"SCAR3","São Carlos","13.900","23,50","+0,00%"
"RPAD5","Alfa Holdings","12.000","8,93","+2,06%"
"AVLL3","Alphaville","11.900","3,95","-1,50%"
"UNIP3","Unipar","11.500","47,51","-1,02%"
"EALT3","Electro Aço Altona","10.900","15,10","+2,03%"
"ATMP3","Atma","10.800","1,39","+1,46%"
"PTNT4","Pettenati","10.200","7,30","-0,14%"
"FHER3","Fertilizantes Heringer","10.200","4,07","-1,93%"
"TASA3","Taurus","10.000","11,20","-0,09%"
"ENGI4","Energisa","9.500","8,65","+5,88%"
"BAHI3","Bahema","9.100","6,99","+5,43%"
"BMEB4","Banco Mercantil do Brasil","8.800","39,17","-1,09%"
"WEST3","Westwing","8.400","0,91","+2,25%"
"ALUP4","Alupar","8.000","10,59","+1,63%"
"SNSY5","Sansuy","8.000","5,62","-7,11%"
"HAGA4","Haga","8.000","1,19","+0,85%"
"LOGN3","Log-In","7.300","36,30","+0,83%"
"RSID3","Rossi Residencial","7.100","3,75","+3,02%"
"ENGI3","Energisa","6.900","14,85","+2,27%"
"OSXB3","OSX Brasil","6.600","3,77","-0,79%"
"TELB4","Telebras","5.500","9,37","-0,32%"
"PATI3","Panatlântica","5.400","44,00","+2,35%"
"ALUP3","Alupar","5.400","10,87","+2,55%"
"ATOM3","ATOM","5.400","2,18","+1,40%"
"CTKA4","Karsten","5.100","20,98","+10,42%"
"BPAC5","Banco BTG Pactual","4.900","9,45","-0,21%"
"OIBR4","Oi","4.700","11,95","-0,42%"
"AMAR11","Lojas Marisa","4.700","0,50","+0,00%"
